TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"
LOST NUMBER, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 705588;;DVD;;500,83;;Thriller, Action;Lost Number, the ;Wonodi,Diwani/Walden,Kathleen/Moses,Holy/Abila,Tamara;Nsirim,Kester;;Full;;30;1;19,99;;;;;2013;11/10/15;NN;;;;;Amaray;1;NTSC;Stereo;Color;Widescreen;16x10;NA;English;No;No;90 Minutes;;YES;NN;;;;;;City of God, Tears of the Sun, Hotel Rwanda,Taken, Blood Diamond;http://www.privatecinema.info/#!the-lost-number/c18ml;"-A film set in Africa featuring an English woman trying to save a slum
-fast paced gritty action film
-protaganist is motivated by a desire for redemption";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";After going renegade on a Foray, Kathleen an English woman goes down south to Ngara Town. Seeking redemption, Kathleen saves Ngara Town and becomes her new hero. But when Diwani (point man of the Foray) comes to Ngara to retrieve from Kathleen what belongs to the Foray, Kathleen must go against the odds to save Ngara from Diwani and a Foray striking for the very soul of Ngara Town.;HD;2 M;Kester Nsirim;Kester Nsirim;Kester Nsirim;John L. Demps Jr. | Chux Madu;Tobey Uwake;D.I.P Pictures Entertainment;PG13

CROSSING BRIDGE;USA AND CANADA;YES;FENIX PICTURES;0 609408 705618;;DVD;;500,87;;Psychological, black;CROSSING BRIDGES;Rose, Jason/Dahl, Elisabeth/Kissoon, Jeffery/Kerslake, Kelli/Stewart, Riley/Glasgow, Troy/Shah, Avin;Norfolk, Mark;;Full;;30;1;19,99;;;;;2006;11/24/15;NN;;;;;Amaray;1;NTSC;Stereo;color;wide Screen;16x9;NA;english;no;no;96min;;YES;NN;;;;;;Omen, The Shining, Final Destination;http://www.privatecinema.info/#!crossing-bridges/c17ay;a psychological fantasy drama/a fascinating vision of London and its architecture/spell-binding rock soundtrack;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";When Julius loses his wife, his job and finds himself accused of a terrible crime he decides to end his life. But instead he meets an angel who takes him on a mysterious journey through the entrails of his mind which forces him to confront his problems and save his soul.;HD;1M;Mark Norkfolf  ;Mark Norkfolf  ;Chalene Long;Martin Scanlan;Kerry Hope-Kavanagh | Vanesa Lorena Tate;Prussia Lane Productions Ltd.;R

ALICE DIZ;USA AND CANADA;YES;FENIX PICTURES;0 609408 732843;;DVD;;500,91;;Family/Drama;ALICE DIZ;Confortin,Daniel /Savian,Roberta / Pessin, Rodrigo; Roa,Beto;;Full;;30;1;19,98;;;;;2012;12/2/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x9;NA;Portuguese ;No;Yes;76 min;;YES;NN;;;;;;Wings of Desire, Metropolis, Brazil, Existenz, Inception;http://www.privatecinema.info/#!alice-diz/ctjd;"-Portrays a romance via an unusual connection of social media and raises the question are we really engaging something real?
-Raises the issue of how human entanglement with the cuber world is altering our connection with the real world
-uses extensive symbolism and tries to leave itself open for interpretation";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Daniel is a young loner who starts an online relationship with Alice, an unknown woman. Despite never having seen her, he falls in love to the point of obsession. But Alice has a secret. The Revelation of a surprising truth sends Daniel into despair, setting off a series of events that take the characters along mysterious, dangerous paths, from which there is no return;HD;1 M;Helene Stephanou, Beta Roa, Luiz Gonzaga Dupont;Beto Roa;Helene Stephanou;Luciana Baseggio;Bruno Alcade;IDEIA A VISTA PRODUCOES LTDA;PG

DO IT IN POST;USA AND CANADA;YES;FENIX PICTURES;0 609408 705656;;DVD;;501,02;;Documetary COMEDY;DO IT IN POST;Torres,Tammy/Lima,Melvin/Logan,Don;Dionne,Rob;;Full;;30;1;19,99;;;;;2014;12/16/15;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;Yes;No;85 minutes;;YES;NN;;;;;;Zack and Miri make a porno, Grandma's Boy, Pineapple Express;http://www.privatecinema.info/#!do-it-in-post/cwq;"-A meta comedy focused on a disorganized shot for a low budget film
- Large non white cast
- slacker type protaganist ";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"Comedy about the horrors of  shooting a low budget feature
 in modern day Miami and  everything that that can
 possible go wrong on set. The  story is told through the eyes
 of Alex Gonzalez, a pothead  who is kidnapped by his best
 friend Chris during a minor  drug transaction and forced to
 be a PA on the set of an ultra  low budget movie. Alex has
 no idea what a PA does or  what it takes to make a movie
 but he has common sense,  which is lacking heavily on
 this set. Chris promises Alex  that he'll drive him home as
 soon as they get the first shot  completed; but for this
 feature, getting anything in the can is a major task.";HD;1 M;Tremain Brown | Rob Dionne | Andrew Schwartz;Rob Dionne;Rob Dionne | Sidney Manuel;Rob Dionne;Marcos Plevak;SCPfilm;PG13

GHOSTFINDERS;USA AND CANADA;YES;FENIX PICTURES;0 609408 705533;;DVD;;501,54;;Paranormal, Horror, Thriller;GHOSTFINDERS;;;;Full;;30;1;19,98;;;;;2014;1/14/16;NN;;;;;Amaray;1;NTSC;5.1 Surround;Color;Widescreen;16x10;NA;English;No;no;92 minutes;;YES;NN;;;;;;Blair Witch Project, Paranormal Activity, Friday the 13th;http://www.privatecinema.info/#!ghostfinders/cnbv;"-A film done in a similair style to the Blair Witch Project
-presents a seemingly real supernatural event through first hand camera footage and presents itself as entirely authentic as part of its appeal";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";McClain took a spooky adventure down in Hollister Southwest Ghost Finders SWGF Paranormal Research;HD;1M;;;;;;Movienetworks.LLC;

CLUB HABANA;USA AND CANADA;YES;FENIX PICTURES;0 609408 732898;;DVD;;500,99;;Comedy/Drama;CLUB HABANA;Garcia,Luis Alberto /  Gomez, Yoraisi / Molina,Enrique; Herrera,Jorge;;Full;;30;1;19,98;;;;;2010;1/28/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;80 min;;YES;NN;;;;;;Life is a whistle, Beach Bar,PÁGINAS DEL DIARIO DE MAURICIO;http://www.privatecinema.info/#!club-habana/c131e;"-Stars a painter
-Focus's on modern Cuba 
-Presents a depiction of everday average people";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";Barbara is about to travel to Spain for an exhibition of her paintings. The night before starting her journey there is a hurricane and she has to stay in a nightclub until the morning. During the night she comes into contact with different people who have a variety of conflicts and interests. She is drawn into this microcosm which seems to be a reflection of Cuban society today.;HD;1 M;Jorge Herrera;Jorge Herrera;Pablo Morales;Luis Najmias Jr.;Diego Gat;Club Habana Productions. LLC;PG13

IN THE HOUR OF VICTORY;USA AND CANADA;YES;FENIX PICTURES;0 609408732959;;DVD;;501,13;;Documentary WWII , History ;IN THE HOUR OF VICTORY;Beasley, Ben / Hay, Catherine;Spurling, Lucinda/ Kirkpatrick,Andrew;;Full;;30;1;19,99;;;;;2013;2/11/16;NN;;;;;Amaray;1;NTSC;Stereo;Color and B&W;Widescreen;16:09;NA;English;Yes;no;80 Minutes;;YES;NN;;;;;;The War by Ken Burns, We Were There, Till Then;http://www.privatecinema.info/#!in-the-hour-of-victory/c1xi2;"Based on a book of the same name by Jonathan Smith ""In the Hour of Victory"" tells the story of WWII through the words of a soldier who lived it and died ""in the hour of his company's victory."" With a blend of reenactment and archive footage it stands out from other films as the story is structured around and narrated with words from love letters to his wife that tell not only of his experiences as a soldier but also of his family's hardship.";Social Media promotion: www.inthehourofvictory.com https://www.facebook.com/pages/In-The-Hour-of-Victory/270524182961432 Film Festivals and independent screenings;Untouched for fifty years, a family finds a bundle of letters setting them on a journey into their past, and the rediscoveryof a tragic love story amid the turmoil of World War II. Bermudian, Major Toby Smith lost his life at the Battleof Overloon during the final Allied push for victory. This film weaves a haunting portrait etched in Toby’s own words;HD;1 M;Lucinda Spurling;Lucinda Spurling;Andrew Kirkpartrick;Lucinda Spurling;Steve Gallant;Ostrow and Company Producer's Representatives;PG

GOOD, THE BAD, AND THE COYOTE, the;USA AND CANADA;YES;FENIX PICTURES;0 609408 705878;;DVD;;501,09;;Comedy;GOOD, THE BAD, AND THE COYOTE, the;Applegate , Kenneth  /  Rubio, William / Lewis, Parker ;Farr, Tyler ;;Full;;30;1;19,98;;;;;2014;2/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;90 minutes;;YES;NN;;;;;;Ferris Bueler's Day Off, Clerks, Pineapple Express;http://www.privatecinema.info/#!the-good-the-bad-and-the-coyote/cfl4;"-A comedy film with an outlandish plot about a person who runs a smuggling operation to Canda
-The smuggler makes a huge mistake and let's a criminal in and now has to track him down or risk having the feds come after his buisness
-features a humorous ethnic side kick character";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A smart witty comedy about an American 'Coyote', who illegally smuggles people across Canada's borders. In order to save his business, he must retrieve a criminal he helped before the Fed destroys his business.;HD;3.5 M;Josh Lee;Tyler Farr;David Burke;Josh Lee;Tyler Farr;TheGoodtheBadandtheCoyote.LLC;PG13

EXECUTION;USA AND CANADA;YES;FENIX PICTURES;0 609408 705724;;DVD;;501,04;;Horror;EXECUTION;Brenher,Matthew/Burkel,Robin/Caldera,Dave;Menza,Jim;;Full;;30;1;19,99;;;;;2013;3/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x17;NA;English;Yes;No;87mins;;Yes;NN;;;;;;Paranormal Activity, Chronicle, The Blair Witch Project;http://www.privatecinema.info/#!execution/co2g;"-a documentery depicitng a real life execution of a murderer 
-footage was shot secretly and confiscated from the film makers initially but is now availible for the public to witness
-initially was focused on the prison itself but when given the opportunity to see an execution the film makers knew that the film's focus should be on that";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"Ten years after a tragic childhood  attack, that took his first and only
 love, a man awakens from a coma  and begins killing everything in his
 path. Seemingly random murders  begin to unfold into a mysterious
 story of revelation, intrigue and  redemption. Execution is an eclectic
 blend of Comedy, Horror and  Romance.";HD;1.5 M;Eric Clark | Jim Menza;Jim Menza;Jim Menza;Michael Magliulo;Tamara Johnson;Execution Productions ;R

TWINS CODE;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 705830;;DVD;;501,52;;Action, Adventure, Thriller;TWINS CODE;Cao Cao, Xin Sun, Yumei Yang;Liang,Kaijie;;Full;;30;1;19,98;;;;;2013;3/25/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English / Chinese;No;YES;96 min;;YES;NN;;;;;;James Bond, Wanted, The Medallion, Ocean's 11, The Town, Romeo Must Die, Thief;http://www.privatecinema.info/#!twins-code/cghl;"-ACTION. Similar to the Jackie Chan type movies; never a dull moment with this one. Action always sells, and when there's good martial arts involved, it's even better. Lots of technology, crazy stunts, and bullets flying.";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";When the Global Financial Tsunami hits, a recently-deceased billionaire’s fortune is locked, hidden in a flash drive disguised as a crystal necklace.  Two separate codes are needed to access it – and of course, possession of the necklace.  When two rival groups clash in their hunt for the codes, the famous Guangzhou Tower becomes their battleground…  ;HD;3 M;Fang Xinxin;Lin Ma;Xin Fan;Xin Fan;Xin Fan;TWINS CODE PRODUCTIONS.LLC;PG13

GIRL IN THE MIRROR, the ;USA AND CANADA;YES;FENIX PICTURES;0 609408 705717;;DVD;;501,08;;Horror / Thriller;GIRL IN THE MIRROR, the;Brea,Natalia/Flower,Brandi/ Hoaland,Sean/Swain,Cassie;Coltress,Oliver;;Full;;30;1;19,99;;;;;2010;4/8/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x16;NA;English;Yes;No;101mins;;YES;NN;;;;;;Scream, What Lies Beneath, 1408;http://www.privatecinema.info/#!the-girl-in-the-mirror/cx2s;"-a kick starter project
-a psychological horror with a meta element of a girl who watches enough horror movies that she (at least) beleives that she is being haunted
-though not high budget, the director clearly has a strong grasp of how to create the element of suspense and fear with his imagery";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";"After moving into her new off campus  home and passing the inspection of her
 odd landlord, Alix discovers an antique  mirror in her basement that contains the
 spirit of a dead teen that soon unleashes  an onslaught of strange occurrences
 through out the house such as terrifying  noises from behind locked doors,
 ghostly images, and even dead animals!  With the aide of her classmates she sets
 out to find the secret the house holds  about her and its former inhabitant,
 which leads her to a startling revelation  that leads to mayhem and disaster.";HD;1 M;Oliver Coltress;Oliver Coltress;Justin Shumaker;Joey Alvarado;Charles A. Kelly;InTheMirror Prodcutions.LLC;PG13

"Horror of 
the Dolls, the

    ";USA AND CANADA;YES;FENIX PICTURES;0 609408 732935;;DVD;;501,1;;Horror;"Horror of 
the Dolls, the"; Allcorn, Marie / Barnett, Ava; Davey, Shane;;Full;;30;1;19,98;;;;;2010;4/22/16;NN;;;;;Amaray;1;NTSC;Surround;Color;Widescreen;16x10;NA;English;No;no;81 min;;Yes;NN;;;;;;Chuckie, The Puppet Master, Dolls;http://www.privatecinema.info/#!horror-of-the-dolls/c1vcq;"-Set in Great Britian, urban London
-in addition to being a blood letting horror film, it has an ensemble cast 
-features the issue of class divide and has a corporation used as the villain
-Winner of the 28 day feature film challenege of 2010";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";A corporation plans to develop a residential tower block into luxury city apartments. As the residents galvanize, the corporation sends in someone to 'shake them up'. The Horror of The Dolls features a strong ensemble cast, inter-twined narratives and an iconic piece of London architecture. The narrative is underpinned by the wealth divide, untouchable high-finance, malleable politicians and the resolve of a community under assault. All wrapped in a blood-soaked and stylized horror thriller set against the breath-taking cityscapes of contemporary London. The Horror of The Dolls is a terrifying, atmospheric and unpredictable journey. Influences on the project are The Shining, Blue Velvet, The Wild Bunch, Short Cuts and Antichrist.;HD;1 M;Shane Davey;Shane Davey;Vid Price;Sara Deane;Sam Baws;Davey Inc Productions ;R
